timestamp,sensorid,temp_c,spcond,ph,depth,turbidity,do_pct,do_mgl,power
2014/02/26 12:24:36,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 12:34:38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 12:44:39,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 12:54:40,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 13:04:39,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 13:14:40,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 13:24:41,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 13:34:43,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 13:44:44,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 14:04:38,9,6.69,1.45,6.79,-0.8,0.0,102.55,12.55,
2014/02/26 14:14:38,9,6.33,2.13,6.73,-0.8,0.0,102.04,12.6,
2014/02/26 14:24:39,9,6.66,1.5,6.81,-0.8,0.0,101.5,12.43,
2014/02/26 14:34:40,9,9.84,48.29,7.17,1.25,0.0,99.05,11.22,
2014/02/26 14:44:42,9,9.84,48.35,7.14,1.25,0.0,99.06,11.22,
2014/02/26 14:54:43,9,9.84,48.41,7.13,1.25,0.0,98.95,11.21,
2014/02/26 15:04:44,9,9.84,48.45,7.14,1.25,0.0,98.91,11.21,
2014/02/26 15:14:46,9,9.85,48.49,7.14,1.25,0.0,98.96,11.21,
2014/02/26 15:24:47,9,9.85,48.56,7.1,1.25,0.0,98.81,11.19,
2014/02/26 15:34:48,9,9.86,48.62,7.1,1.25,0.0,98.73,11.18,
2014/02/26 15:44:49,9,9.86,48.65,7.1,1.25,0.0,98.73,11.18,
2014/02/26 15:54:49,9,9.87,48.72,7.12,1.25,0.0,98.81,11.19,
2014/02/26 16:04:49,9,9.87,48.77,7.1,1.25,0.0,98.84,11.19,
2014/02/26 16:14:50,9,9.87,48.83,7.09,1.25,0.0,98.8,11.19,
2014/02/26 16:24:51,9,9.87,48.87,7.11,1.25,0.0,98.7,11.17,
2014/02/26 16:34:53,9,9.87,48.95,7.09,1.25,0.0,98.81,11.19,
2014/02/26 16:44:54,9,9.87,49.02,7.11,1.25,0.0,98.59,11.16,
2014/02/26 16:54:55,9,9.87,49.03,7.11,1.25,0.0,98.69,11.17,
2014/02/26 16:56:15,7,7.52,10.16,6.99,-0.1,4.05,80.95,9.7,
2014/02/26 17:04:57,9,9.87,49.09,7.1,1.25,0.0,98.73,11.18,
2014/02/26 17:06:15,7,7.58,10.61,7.0,-0.1,3.91,81.76,9.79,
2014/02/26 17:14:58,9,9.87,49.14,7.08,1.24,0.0,98.56,11.16,
2014/02/26 17:16:16,7,7.91,11.09,7.0,-0.9,3.95,82.72,9.82,
2014/02/26 17:18:31,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014/02/26 17:24:59,9,9.87,49.12,7.09,1.24,0.0,98.57,11.16,
2014/02/26 17:26:17,7,7.82,437.45,7.0,-0.1,2.83,82.55,9.81,
